SEGMENTO;"Cooperativa de Crédito";
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;
22656789;"COOPERATIVA DE CREDITO CREDISUDESTE LTDA. - SICOOB CREDISUDESTE";"R PASCHOAL BERNARDINO  101";-;"CENTRO";"36880049";"MURIAE";"MG";"Brasil";-;-;-;
5463934;"COOPERATIVA DE CREDITO CREDLIDER - SICOOB CREDLIDER";"RUA SAO PAULO  3069";"TERREO";"CENTRO";"15500010";"VOTUPORANGA";"SP";"Brasil";-;-;-;
1009908;"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PARA DE MINAS LTDA - SICOOB ASCICRED";"RUA BENEDITO VALADARES 51";-;"CENTRO";"35660630";"PARA DE MINAS";"MG";"Brasil";-;-;"https://www.sicoobascicred.com.br";
4181542;"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PITANGUI E REGIAO LTDA. - SICOOB CREDPIT";"AV  LIMA GUIMARAES  39";-;"CENTRO";"35650000";"PITANGUI";"MG";"Brasil";-;-;-;
73422792;"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE RUBIATABA E REGIAO LTDA";"AV. AROEIRA, 880";-;"SETOR AEROPORTO";"76350000";"RUBIATABA";"GO";"Brasil";-;-;-;
2173447;"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO NORDESTE MINEIRO LTDA - SICOOB CREDICENM";"PRACA JK 333";-;"CENTRO";"39740000";"GUANHAES";"MG";"Brasil";-;-;"https://www.sicoobcredicenm.coop.br";
19869338;"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO VALE DO AÇO LTDA - SICOOB VALE DO AÇO";"AV  CASTELO BRANCO  582";"A";"HORTO";"35160294";"IPATINGA";"MG";"Brasil";-;-;-;
42887133;"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA REGIÃO SUDESTE DE MINAS GERAIS LTDA. - SICOOB CREDISUCESSO";"PRACA BENJAMIM GUIMARAES";"109";"CENTRO";"37220000";"BOM SUCESSO";"MG";"Brasil";-;-;"https://www.sicoob.com.br/web/sicoobcredisucesso";
81014060;"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAIPU SICOOB CREDITAIPU";"RUA JOAO PESSOA  1 490";"CENTRO";"CENTRO";"89870000";"PINHALZINHO";"SC";"Brasil";-;-;"https://www.creditaipu.coop.br";
64480833;"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE MARTINHO CAMPOS LTDA - SICOOB CREDIMAC";"PRACA GOVERNADOR VALADARES, 142";-;"CENTRO";"35606000";"MARTINHO CAMPOS";"MG";"Brasil";-;-;-;
1604998;"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS";"RUA DR  FERNANDO LEMOS  45";-;"CENTRO";"37490000";"SAO GONCALO DO SAPUCAI";"MG";"Brasil";-;-;"https://www.sicoobcredivass.com.br";
25404542;"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO GORUTUBA LTDA - SICOOB CREDIVAG";"AV  MANOEL ATHAIDE";"713   1 ANDAR";"CENTRO";"39440000";"JANAUBA";"MG";"Brasil";-;-;"https://www.credivag.com.br";
